variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc
mcmillan17,0.0018000739786757174,8.244946479797363,3.7403323650360107,0.4086188077926636,0.9995634462713419
mcmillan17,0.13946793483238995,10.775028228759766,4.509634971618652,0.3648519515991211,0.9744435413706742
mcmillan17,0.07915119809465446,11.19425106048584,3.6795637607574463,0.7218414545059204,0.9859578863098918
mcmillan17,0.06611096671414265,9.72347640991211,3.674055576324463,0.6507518291473389,0.9864936152728988
mcmillan17,0.03305565610415914,2.8431575298309326,1.209585428237915,0.2916041910648346,0.9770144603565523
mcmillan17,0.016349019622572864,4.650887489318848,2.3489131927490234,0.0244302861392498,0.9929941327844639
mcmillan17,0.014351259082800003,3.3602235317230225,1.3771928548812866,0.4150879681110382,0.9914944785802936
mcmillan17,0.1291284777706216,8.045846939086914,0.07671711593866348,0.12928879261016846,0.9684088401038254
mcmillan17,0.05085770258508043,2.3675589561462402,0.8811516761779785,0.34277698397636414,0.9579413229714023
mcmillan17,0.011747865327530275,3.7209060192108154,1.4132782220840454,0.5682991147041321,0.9937053551221595
mcmillan17,0.05237266438449027,2.3297104835510254,1.7390360832214355,0.30721354484558105,0.9560278452665432
mcmillan17,0.0026900276810274347,8.66737174987793,3.513859987258911,0.5965169668197632,0.9993794674709263
mcmillan17,0.048530359154880784,4.263524055480957,1.7184053659439087,0.565474271774292,0.9774908410292039
mcmillan17,0.00261431175429667,2.929452419281006,1.0611000061035156,0.49293026328086853,0.9982167447100542
mcmillan17,0.13656841083223623,11.605188369750977,3.9590344429016113,0.6869613528251648,0.9767379935755316
mcmillan17,0.018846447992496417,5.5873942375183105,2.8698956966400146,0.027577964588999748,0.9932766183081634
mcmillan17,0.010842772124200392,3.356086254119873,1.5152087211608887,0.281520813703537,0.9935592511516075
mcmillan17,0.01352235796662801,3.6742160320281982,1.4484446048736572,0.5236262083053589,0.9926663138560397
mcmillan17,0.10171461431565264,5.030683994293213,2.0317769050598145,0.6208010911941528,0.9603637121461918
mcmillan17,0.14260175725952312,9.477046966552734,4.698103904724121,0.14830255508422852,0.9703519824156301
mcmillan17,0.0160801703954682,3.2786998748779297,1.2396457195281982,0.5113910436630249,0.9902390021946769
mcmillan17,0.026429962738962854,6.602341651916504,3.4500319957733154,0.027791718021035194,0.9920256831052894
mcmillan17,0.03144151026146499,5.146976470947266,2.15533185005188,0.5732015371322632,0.9878567120786468
mcmillan17,0.014254631436824487,5.092677593231201,1.9467685222625732,0.6740434169769287,0.9944175364740614
mcmillan17,0.0444359931911193,4.785284042358398,0.624762237071991,0.04498708248138428,0.9815989362265121
mcmillan17,0.14086421111139813,8.918349266052246,1.1428650617599487,0.14131446182727814,0.9689014479090295
mcmillan17,0.006035276224405347,3.392897844314575,1.4630290269851685,0.3531873822212219,0.9964487231667281
mcmillan17,0.12315331197389653,9.022894859313965,4.016886234283447,0.12804077565670013,0.9730696122155773
mcmillan17,0.16402969320768032,10.044200897216797,3.966728448867798,0.5884584784507751,0.9678632468663975
mcmillan17,0.03117433330807669,4.837197780609131,1.982703685760498,0.5857251286506653,0.9871931181189054
mcmillan17,0.029784107350482016,7.676662921905518,2.6181163787841797,0.79066401720047,0.992270340083462
mcmillan17,0.01829201098670466,2.9275827407836914,1.0783195495605469,0.47623974084854126,0.9875812704014578
mcmillan17,0.012998628989879408,2.9495389461517334,1.0747909545898438,0.49114495515823364,0.9912246655711984
mcmillan17,0.029586256406084935,5.020196437835693,2.1271374225616455,0.5511929988861084,0.9882821665020074
mcmillan17,0.019274076958830176,8.000782012939453,3.7414331436157227,0.022476768121123314,0.9951935306330073
mcmillan17,0.0425877543968109,3.4365599155426025,1.6274206638336182,0.11842307448387146,0.9755182829606353
mcmillan17,0.07055011540320073,3.1892974376678467,1.3006768226623535,0.4158099293708801,0.9567156965136381
mcmillan17,0.004316034202185987,5.960290908813477,2.862773895263672,0.019673475995659828,0.9985527850390075
mcmillan17,0.007678571991199372,2.5001022815704346,0.9960662722587585,0.3005859851837158,0.9938762017579852
mcmillan17,0.02341817691378727,6.234037399291992,2.541522264480591,0.6351897716522217,0.9925151120519862
mcmillan17,0.02706171118065139,7.774807929992676,3.479846715927124,0.25115063786506653,0.9930627625363447
mcmillan17,0.021140125924227433,3.8835606575012207,1.5627342462539673,0.5264779329299927,0.9891719611326111
mcmillan17,0.04721521703179564,6.067427158355713,2.493762969970703,0.6237719655036926,0.9845566709765905
mcmillan17,0.004935742755896853,11.527344703674316,4.799120903015137,0.008972161449491978,0.9991440127078378
mcmillan17,0.018766876372175365,4.827515602111816,1.9882506132125854,0.578933596611023,0.9922551454829576
mcmillan17,0.09727733660828157,6.370522499084473,3.801600217819214,0.10219733417034149,0.9699194968677126
