source_id,static_E
4559118165642887040,-150256.61319579778
6147673392719783936,-143433.39661162504
6572964181105917696,-150856.97104676365
6871310339112802176,-166896.9830283161
3820719244854300672,-124794.5307730044
6557780200402584192,-151461.408469596
3583275654387487488,-141771.4504618384
1673481028465711232,-128418.96433912004
4161827643470719360,-181439.41817422432
2497613818671696000,-128112.64742542132
6241423045504113920,-167561.27750350643
6235774819915918720,-174069.43159414
2826770250994112640,-141716.72838159528
6318397002704667008,-160172.99027616277
6481851569520719104,-159427.83753208892
4818793915582515200,-134195.32895411496
1926255277061978624,-138446.1539989441
6152165172596213504,-147736.12369070237
1347177897539700736,-144927.3913257275
6753237805494551680,-172738.92829906952
4076134245506145792,-186751.39954730848
2045536075198001664,-148115.61696376195
2357382964659357824,-135589.16712451566
4178872856825100544,-171427.7176083287
6028137993371001600,-184555.28716012824
4089280423185404416,-193490.80958491037
4164049000546296960,-186464.23514930697
4437457994304344064,-148157.74858004565
4046324595488204160,-187685.84404481133
1743998893908451456,-147402.82668267906
880132845850389632,-121185.90993658052
6058785299353572608,-150191.44288929604
4045786938705940864,-205879.3864486587
3297601127375493888,-138124.38209644004
3636519127004964224,-144694.66560178914
5949119837803384576,-192418.90019196566
6301684902703023360,-149660.16674601176
4092801437422757760,-192143.36574377617
1453455042211809024,-139323.5833052666
5783014245334461440,-146356.8273295492
6030021353697705728,-191430.70449625197
365529930530767232,-124378.890752291
4741714714501659008,-143880.26027230968
1448631519060931072,-136174.39515227365
5769570791539890176,-143981.10871174384
4241942493067177856,-160714.82281346532
1538299509804109568,-135459.55822538244
1317987238211656064,-145693.40553043722
5620185987839436160,-139721.43246250186
4078656666940043136,-169705.6174375228
6699979352029134464,-163318.28404963986
6132467868462673408,-148902.2723512581
10283049355584128,-139850.49157542142
5447028437056579072,-132050.84208006485
4210785357188830976,-156809.67138780333
2227039297164336640,-126099.52435425253
6631751597509604864,-161293.09942867374
3253629527076410496,-123543.9552668822
197752599391374208,-129609.27231435146
3247084615392605312,-127933.97788118667
4127683031428921344,-188162.787563231
6879240669809075840,-164302.34346407777
4375631493402257536,-171675.916503752
3607697903584145024,-141565.12749912188
6854799488393709952,-160894.9644072426
4088726544177222912,-181244.20755373535
3876818011730390656,-131563.0498926093
