source_id,tier,vgrf_default_exact,rect_t_min_myr_p16,rect_t_min_myr_p50,rect_t_min_myr_p84,rect_abs_t_min_myr_p50,rect_d_min_pc_p16,rect_d_min_pc_p50,rect_d_min_pc_p84,v_radial_sph_kms_p50,p_rect_past,p_rect_near_now,p_rect_future,p_rect_d_lt_100_pc,p_rect_d_lt_500_pc,p_rect_d_lt_1000_pc
1857320025474161792,A,15.464869288665874,-155.85408954220196,2.5742155474597896,180.12661246424892,129.9061457613176,7911.4972413452915,8504.028115840676,8736.54662854055,-0.06650911873053496,0.4758,0.0402,0.484,0.0,0.0,0.0
5427954178063913344,B,21.847730017872934,104.07768215933876,132.84970072136093,165.28054767049233,132.84970072136093,8293.727622621549,8505.495801380464,8677.251965462825,-7.236831392636054,0.0,0.0,1.0,0.0,0.0,0.0
5566151760193226496,B,21.657768095096188,-282.139564175522,-269.47902326342205,-253.80298254740788,269.47902326342205,8099.815358926325,8511.349753336382,8973.411545571844,12.587009610476894,1.0,0.0,0.0,0.0,0.0,0.0
1871905145997313280,A,17.513572429606306,32.25531168073889,89.01595993536381,181.51297220733576,89.01595993536381,8244.398770457772,8530.080759534612,8638.036132485135,-3.2787242170570687,0.0148,0.0444,0.9408,0.0,0.0,0.0
10283049355584128,B,15.639066420190934,-108.25204382600387,21.36653249559196,345.2458369251552,114.04957209597843,7391.183028618266,8544.004761721366,8821.315269481418,-0.6623117790366884,0.4408,0.0376,0.5216,0.0,0.0,0.001
5734715925043634560,A,14.604843037856458,225.6227133883508,377.92927191992976,422.18904610149923,377.92927191992976,7636.111228037842,8557.042829501188,9577.568842743834,-8.093907293718967,0.004,0.0024,0.9936,0.0,0.0,0.0
2088312128386334336,A,20.57631800130188,74.03014656381804,111.08205086319313,158.9910841861472,111.08205086319313,8330.789771276499,8561.10951331276,8721.344842617857,-5.473521288198138,0.0,0.0,1.0,0.0,0.0,0.0
127624407740600576,B,9.23925052638091,208.04057994157557,577.7112399397379,1166.099365020649,582.1259784651584,5107.896675715648,8562.47735260083,10594.27389515936,-8.379642355911049,0.018,0.0022,0.9798,0.0,0.0,0.0
5731897365641654912,B,20.79562188286727,-97.46281623275773,-24.662614138542526,17.302997425065282,32.88406379361549,8408.27112485903,8567.482328925638,8598.871187641033,1.3025414333484289,0.6134,0.171,0.2156,0.0,0.0,0.0
3131963583305188736,A,19.864590703083504,154.67660862130413,175.74962087835127,196.1772513958374,175.74962087835127,8368.860984861429,8577.947237165165,8779.298592497491,-7.858232103622937,0.0,0.0,1.0,0.0,0.0,0.0
